Date,Country,City
2024-11-24 10:58:14,India,Brāhmana Periya Agrahāram
2016-02-16 11:21:53,India,Jahānābād
2019-03-27 18:50:54,India,Hatta
2021-02-03 06:32:05,Italy,Tradate
2020-01-09 12:33:38,United States,Noe Valley
2023-05-30 09:41:41,Japan,Inzai
2016-03-04 00:52:07,United States,Center Point
2024-12-19 10:13:32,Japan,Nagai
2019-12-11 20:24:38,Japan,Gōdo
2017-08-19 06:56:59,India,Kallidaikurichi
2019-03-22 15:43:42,United Kingdom,Dover
2023-12-04 20:59:32,Spain,Gijón
2016-06-19 02:05:45,Germany,Aschaffenburg
2024-06-08 12:28:26,Japan,Hamada
2016-07-20 14:43:25,France,Bagnols-sur-Cèze
2024-11-15 10:50:30,Brazil,Pederneiras
2020-10-03 07:34:38,India,Kudachi
2020-06-26 10:47:33,India,Erāttupetta
2017-11-28 08:16:17,United States,Roseburg
2021-01-11 20:14:14,Japan,Tsukuba
2020-05-27 23:45:12,Brazil,Piracaia
2016-12-28 07:24:24,United Kingdom,Bebington
2018-04-09 09:36:53,Brazil,Santa Maria da Vitória
2020-11-29 03:44:50,India,Nāgāvaram
2016-06-19 07:11:21,Brazil,Jaru
2020-07-12 16:21:54,Italy,Malnate
2021-08-19 11:43:52,France,Lyon
2018-04-17 09:47:36,Italy,Senigallia
2025-05-05 13:18:54,Brazil,Taquaritinga
2022-11-06 22:14:59,Brazil,Barra do Corda
2023-04-03 10:41:05,Italy,Mariano Comense
2022-09-01 20:39:18,Spain,Torrejón de Ardoz
2024-12-18 16:00:01,India,Tindal
2024-07-30 13:29:19,Japan,Taketoyo
2017-08-03 17:29:57,Brazil,Santana
2020-08-13 16:38:25,India,Patran
2017-02-11 12:44:21,United Kingdom,Craigavon
2024-03-02 21:38:46,India,Sāmba
2024-06-13 18:08:33,Japan,Itoigawa
2017-01-14 00:22:20,India,Warora
2021-05-08 07:47:09,India,Baidyabāti
2018-02-08 06:53:23,India,Gudivāda
2023-07-16 09:11:51,United States,Stafford
2018-02-20 17:22:51,United States,Hermitage
2020-04-13 12:45:02,India,Shāhganj
2015-10-20 12:17:15,Brazil,Brumado
2018-09-07 12:36:17,Japan,Katori-shi
2023-10-28 20:38:34,United States,Sayreville Junction
2020-12-11 17:59:23,United States,Selma
2024-09-28 21:42:22,India,Khapat
2020-02-04 23:20:16,United States,Atascadero
2022-05-29 01:09:00,Mexico,Banderilla
2020-07-07 17:47:07,Japan,Shikokuchūō
2019-06-24 11:02:49,Germany,Schwäbisch Gmünd
2018-03-04 10:39:10,India,Panayāttur Vadakkumbhāgam
2019-07-25 01:21:49,Mexico,Guanajuato
2025-04-13 06:44:55,India,Kalwākurti
2019-07-29 00:45:30,United States,Easton
2016-04-12 19:16:54,United States,Easley
2018-04-19 01:53:08,France,Arcueil
2016-10-21 13:14:51,Mexico,Coyotepec
2022-07-26 23:45:55,India,Ahor
2018-03-13 11:21:44,Japan,Chikugo
2019-12-01 17:20:23,Germany,Lubnjow
2024-06-12 07:04:02,United Kingdom,Ilkeston
2023-12-09 23:57:44,United States,East Hill-Meridian
2020-12-04 15:56:20,Germany,Marienthal
2023-05-22 09:58:56,United States,Miamisburg
2018-03-10 12:21:08,Canada,West Humber-Clairville
2019-06-11 12:23:06,India,Hodal
2023-04-28 05:31:43,Mexico,Tonalá
2015-11-17 10:42:11,Japan,Toyosu
2024-11-23 10:03:22,India,Sardhana
2020-02-10 07:16:43,Spain,Vigo
2025-06-18 23:11:14,India,Kallukuttam
2018-05-25 14:52:56,Brazil,Brejo da Madre de Deus
2016-02-22 01:30:49,India,Shāhābād
2022-11-23 05:02:50,United States,Mansfield City
2019-05-29 13:25:37,Italy,Misterbianco
2015-12-06 11:08:12,United States,Humble
2016-06-27 17:03:01,Japan,Kariya
2022-12-18 12:47:30,Spain,el Turó de la Peira
2023-12-28 20:38:25,United States,Fairmont
2018-11-15 20:12:59,India,Jalgaon Jamod
2015-12-03 03:44:16,United States,Keystone
2016-04-06 22:18:11,France,Villers-lès-Nancy
2016-03-22 04:20:56,United States,Mount Pleasant
2020-12-11 05:21:56,Italy,Cagliari
2021-02-07 07:38:09,United States,Hanford
2019-11-06 13:05:25,Japan,Fukiage-fujimi
2016-08-21 21:44:15,Brazil,Piripiri
2016-06-16 21:13:54,Germany,Merzig
2024-10-14 22:54:30,India,Amlai
2019-02-09 01:24:37,United States,Sammamish
2023-04-04 09:22:55,Italy,Jesi
2017-05-11 22:13:44,Brazil,Itápolis
2025-09-18 19:21:59,India,Thara
2018-06-18 02:08:38,India,Tirukkoyilur
2025-06-09 23:33:29,Japan,Kitami
2021-03-16 21:14:22,United Kingdom,Norwich
2016-03-23 09:21:37,Spain,Premià de Mar
2018-01-22 05:02:55,India,Kailāras
2021-04-29 22:03:19,United Kingdom,Wokingham
2019-06-26 19:39:25,India,Gulgam
2023-07-11 13:17:37,India,Thrissur
2018-12-07 22:08:56,India,Perumbavoor
2017-06-04 07:06:34,Brazil,Socorro
2021-06-25 23:56:02,United States,Dayton
2017-07-12 20:09:30,Japan,Miyazu
2016-01-13 02:47:54,United States,Stillwater
2022-10-05 16:19:02,United States,Lindenwold
2024-08-28 16:17:44,Brazil,Madalena
2020-03-10 14:59:56,Germany,Hennef (Sieg)
2025-05-29 16:49:49,India,Shāntipur
2017-09-08 17:43:50,Italy,Bisceglie
2023-09-09 22:44:55,India,Pehlādpur Bāngar
2019-02-12 21:47:09,Brazil,Perdizes
2023-12-09 02:41:56,Spain,Nou Barris
2016-08-22 12:13:27,India,Nipāni
2016-11-14 08:17:35,Spain,Casco Histórico de Vallecas
2023-09-04 05:26:13,Germany,Wunstorf
2018-05-22 15:11:32,India,Porathissery
2020-06-10 22:51:10,United States,Country Club
2021-08-02 07:59:03,India,Pipri
2018-07-04 14:58:15,Mexico,Miguel Hidalgo
2022-03-25 00:58:09,Germany,Naumburg
2019-04-04 09:08:30,Brazil,Vera Cruz
2022-12-01 17:19:02,India,Lar
2018-01-09 07:29:56,Japan,Nakama
2018-05-03 08:16:05,Germany,Langenfeld
2024-01-26 14:45:48,France,Saint-Maximin-la-Sainte-Baume
2023-03-22 21:42:51,France,La Valette-du-Var
2025-03-04 07:02:36,India,Parīchhatgarh
2022-08-10 17:52:01,India,Sikka
2019-04-13 23:03:26,India,Bayāna
2024-01-03 19:06:28,Germany,Eimsbüttel
2024-07-18 22:35:59,United States,Lincoln Park
2022-01-27 16:24:15,United States,Kings Bridge
2020-09-02 20:07:43,Canada,Cole Harbour
2023-08-17 14:38:01,Japan,Ōwa
2022-10-23 04:26:53,Brazil,São João Batista
2024-06-21 16:21:57,United Kingdom,Guildford
2018-06-02 13:35:59,Mexico,La Magdalena Tlaltelulco
2020-10-24 09:12:29,Japan,Ōtsu
2021-11-19 06:59:51,India,Tarikere
2018-11-03 11:59:13,Brazil,Urbano Santos
2021-12-07 02:35:10,France,Saint-Jean-de-Braye
2015-11-19 21:08:50,India,Kheri Nāngal
2017-10-09 18:01:59,India,Brahmapur
2022-09-26 13:59:15,India,Pacode
2016-11-21 04:31:58,United States,Willimantic
2019-01-05 00:30:50,Brazil,São Jerônimo
2017-08-13 15:01:34,Japan,Higashihiroshima
2018-01-29 12:10:27,United States,Midway
2025-03-11 04:02:31,Brazil,Canindé
2017-10-21 15:37:41,Spain,Segovia
2016-12-14 20:05:18,Japan,Shirahamachō-usazakiminami
2019-03-05 08:51:44,Spain,Ontinyent
2024-12-23 14:10:14,United States,Des Moines
2022-12-08 00:22:01,Japan,Aomori
2022-02-23 03:07:54,India,Sholapur
2022-02-22 03:54:13,United States,Lyndhurst
2023-02-23 16:23:12,Germany,Blankenburg
2018-04-02 01:33:24,United States,Williamsburg
2018-03-27 23:20:49,India,Porathissery
2019-07-08 18:54:17,France,Vienne
2019-08-07 18:39:43,Brazil,Barreira
2018-09-13 00:00:13,United States,Everett
2018-11-27 06:10:23,Brazil,São Francisco do Conde
2023-03-05 15:02:48,United States,Albertville
2024-12-01 21:29:35,India,Khatīma
2020-05-31 01:39:33,India,Lālsot
2016-10-02 07:56:57,United Kingdom,Amersham
2023-03-19 18:47:49,India,Chodavaram
2025-04-30 05:14:27,France,Saint-Michel-sur-Orge
2024-07-30 17:27:47,Japan,Otaru
2024-04-24 14:43:08,Japan,Isehara
2020-12-20 16:06:26,Japan,Hirara
2022-03-26 09:40:48,Japan,Yokote
2019-08-07 07:09:10,Brazil,Banabuiú
2023-12-04 07:38:34,India,Durg
2025-08-29 06:02:09,Brazil,Barretos
2023-01-21 18:27:16,Canada,Saint-Lazare
2024-11-06 14:41:01,India,Maur
2021-01-01 16:22:17,Italy,Cuneo
2024-06-12 00:14:38,United States,Woodmere
2943.74,2016-07-21 19:21:05,India,West Michael
2023-10-21 19:08:22,Brazil,Mongaguá
2021-01-02 00:51:39,Brazil,Cândido Sales
2021-04-30 13:37:07,Canada,Shawinigan
2020-06-12 03:02:09,India,Karjat
2021-03-03 00:22:01,United States,Jeffersontown
2016-04-22 03:32:44,India,Yamuna Nagar
2022-12-17 20:02:35,Japan,Aisai
2025-04-26 01:18:26,Brazil,Socorro
2018-08-22 09:48:08,India,Cheranmahadevi
2021-06-22 11:49:46,United States,Perry Hall
2021-10-24 02:40:14,United States,North Fort Myers
2021-05-13 17:02:20,Italy,Formigine
2017-11-16 17:16:36,India,Kirandul
2025-08-07 08:32:11,Japan,Iwai
2024-11-12 11:42:33,United States,Issaquah
2017-03-02 19:06:44,Brazil,Campina Verde
2025-01-15 01:32:05,India,Pathānkot
2021-09-26 02:30:49,Brazil,Vicente Pires
2018-10-27 21:39:53,India,Elampalloor
2021-01-12 07:09:46,Italy,Marina di Ardea-Tor San Lorenzo
2018-04-14 10:25:50,Germany,Bürstadt
2024-05-14 19:23:50,India,Hukumpeta
2016-02-01 09:45:46,Spain,Palomeras Bajas
2019-06-18 18:52:50,United States,Edgewood
2022-02-19 06:35:47,Mexico,Guadalupe
2022-05-30 00:48:15,India,Badagara
2022-09-25 11:11:16,Germany,Altona-Altstadt
2019-03-10 23:34:11,United States,Dyker Heights
2017-07-03 09:55:24,United States,Cartersville
2017-11-07 09:23:16,Brazil,Lorena
2017-06-21 08:56:35,Japan,Yoichi
2020-05-10 16:02:11,United States,Granite City
2017-09-23 11:16:50,India,Pūvātūparamba
2020-09-15 13:26:58,Australia,Baldivis
2021-07-15 18:55:27,Mexico,Ixtapaluca
2018-02-20 18:17:25,United States,Cedar Rapids
2019-11-10 02:47:59,United States,Hays
2017-04-16 14:41:38,Mexico,Tonalá
2022-11-20 06:07:20,Brazil,Serra Negra
2022-10-26 15:40:25,India,Kālimpong
2016-01-30 10:38:39,United Kingdom,Halesowen
2022-05-26 04:54:15,United Kingdom,Motherwell
2024-02-24 22:32:39,India,Sarāi Ākil
2020-07-10 09:50:14,India,Kunda
2016-11-25 18:17:09,India,Dhāruhera
2025-02-11 13:11:18,United Kingdom,Canvey Island
2021-05-03 03:17:48,United States,Worcester
2024-04-11 21:00:53,Spain,Adra
2024-07-02 11:50:28,United States,Marion
2023-11-20 09:56:14,India,Kamalganj
2016-02-24 09:00:36,France,Saint-Denis
2024-06-09 05:35:54,France,Dreux
2016-11-02 08:52:22,United States,Edina
2016-05-05 02:43:23,India,Mudkhed
2016-04-06 13:00:23,India,Iramallūr
2015-12-28 18:23:49,United States,Papillion
2016-04-12 18:26:16,Brazil,Sobral
2017-06-08 03:57:16,France,Lagny-sur-Marne
2017-05-18 18:56:17,India,Areraj
2024-03-29 01:24:17,Brazil,Curionópolis
2021-06-27 00:17:17,Canada,Cambridge
2018-09-23 18:48:21,Japan,Minamishimabara
2020-08-14 08:14:34,France,Canteleu
2022-12-15 02:34:42,India,Bareilly
2022-03-31 14:09:39,India,Chandrakona
2017-10-18 03:48:41,Germany,Wachtberg
2017-05-12 10:18:33,Italy,Licata
2023-05-26 03:55:33,Brazil,São Joaquim do Monte
2018-02-06 19:55:54,United States,Houston
2025-05-29 05:25:23,United States,Barberton
2022-10-19 22:27:54,United Kingdom,Great Yarmouth
2020-06-27 15:01:37,Brazil,Goianésia do Pará
2023-08-02 23:12:27,India,Rāmjībanpur
2019-05-12 09:51:08,United States,Dana Point
2018-08-21 00:52:26,India,Bolpur
2025-10-02 19:47:18,India,Jīwanpur
2023-01-13 12:43:55,United States,Hermitage
2025-10-10 16:28:47,India,Hazāribāgh
2019-11-16 17:46:46,United States,Lincoln
2018-12-25 17:00:09,India,Gokalpur
2017-04-17 11:42:53,India,Maduraivayal
2018-02-26 19:26:13,India,Kizhuparamba
2024-12-30 23:50:22,Japan,Yamoto
2015-12-07 05:53:15,Mexico,Tequisquiapan
2021-08-06 04:13:37,Spain,Rejas
2018-01-26 16:03:23,India,Bīsalpur
2018-06-07 05:36:48,India,Porbandar
2020-10-05 14:26:42,United States,Burlington
2023-10-28 18:29:47,Brazil,Tucano
2018-04-03 21:38:31,Brazil,Pojuca
2025-04-17 19:02:58,France,Bel-Air
2018-05-23 21:24:55,Italy,Manduria
2018-10-18 19:21:20,India,Palavakkam
2021-12-21 12:27:38,Japan,Sarubetsu
2023-11-25 00:25:51,United States,Daly City
2016-10-03 22:06:26,India,Morādābād
2018-10-14 17:08:24,Brazil,Tefé
2024-05-26 19:10:08,Japan,Nishitawara
2024-02-05 12:31:47,India,Karād
2018-11-25 08:47:55,Canada,Delta
2025-08-25 02:38:29,Italy,Vasto
2015-11-13 14:47:53,Italy,Campi Bisenzio
2018-08-02 17:51:10,United States,Greenwood
2018-01-08 06:25:39,United States,Roanoke
2021-02-05 11:03:29,United States,Huntersville
2017-08-27 10:37:43,India,Ganj Dundwāra
2022-07-18 10:54:49,United States,West Palm Beach
2024-11-15 07:04:32,Germany,Hohen Neuendorf
2019-01-25 19:37:25,France,Roissy-en-Brie
2018-04-30 11:43:52,Italy,Noci
2023-09-17 16:23:28,Spain,La Solana
2015-10-20 17:10:15,United States,Huntley
2020-05-08 14:01:27,United States,Richmond
2016-10-29 09:11:25,India,Khekra
2016-01-14 19:56:27,Brazil,Chapadão do Sul
2025-03-03 03:13:46,India,Murādnagar
2024-11-14 13:15:49,United States,Merritt Island
2018-06-12 11:08:40,Spain,Sant Boi de Llobregat
2025-08-31 23:04:36,Canada,Boucherville
2021-08-30 17:15:12,United States,Summerville
2016-03-25 13:30:06,Germany,Oschatz
2024-12-25 12:37:12,India,Parāsia
2018-08-02 18:58:52,Brazil,Itariri
2016-06-26 19:21:15,India,Nāngloi Jāt
2019-06-30 20:26:52,United Kingdom,Preston
2025-03-24 08:21:19,Japan,Ōkuchi-shinohara
2021-12-22 16:01:09,Italy,Varese
2025-03-01 17:08:19,India,Una
2019-03-31 23:22:15,Australia,Seaford
2023-04-01 09:03:08,India,Murtajāpur
2017-03-03 23:07:12,Italy,Senago
2022-11-23 16:14:34,India,Nambiyūr
2019-04-15 12:18:04,United States,Enterprise
2022-01-14 18:25:12,Australia,Rockhampton
2017-05-17 18:18:05,United States,Granite Bay
2024-05-14 11:05:38,Mexico,Aguascalientes
2024-07-09 00:12:29,Brazil,Santa Helena de Goiás
2016-04-11 18:56:41,France,Saint-Priest
2017-09-07 11:58:38,United States,Estero
2018-08-18 17:09:46,India,Yamjāl
2025-08-07 12:00:10,India,Pimpri
2017-09-06 10:39:19,Brazil,Santo André
2022-02-07 19:12:20,Spain,Manises
2015-12-19 15:47:53,United States,Brownsburg
2018-11-10 07:42:02,Italy,Termini Imerese
2022-08-23 07:22:20,India,Penugonda
2023-11-06 11:10:24,India,Sīlappādi
2020-08-01 11:50:28,Spain,Ponteareas
2022-03-18 20:45:05,Italy,Viadana
2017-09-22 07:16:51,Italy,Monselice
2023-10-04 02:46:27,India,Sītāpur
2017-03-03 11:06:18,United States,Loveland
118.52,2055-08-18 05:24:03,United States,Baldwin
2017-11-29 00:55:34,Brazil,Barrinha
2020-02-25 03:06:12,Brazil,Lambari d'Oeste
2016-12-08 10:59:00,United States,Passaic
2024-06-15 09:37:01,Germany,Haldensleben I
2022-04-27 08:41:14,Brazil,Tarauacá
2015-12-03 12:27:34,Germany,Schöneberg
2025-10-16 05:36:17,India,Chānasma
2017-12-20 12:14:18,India,Sardhana
2018-02-05 03:48:35,Germany,Zülpich
2017-02-21 18:39:40,India,Chhaprauli
2018-09-20 01:47:31,Japan,Kawage
2020-06-24 03:49:11,Brazil,Epitaciolândia
2019-04-25 06:08:47,United States,Meads
2017-09-28 20:00:45,Canada,Côte-Saint-Luc
2023-02-17 05:19:39,United States,West Park
2022-02-04 23:57:26,Brazil,Nobres
2024-05-18 09:47:39,Japan,Ushibukamachi
2016-11-02 15:28:21,United States,Burnsville
2020-08-09 17:40:52,India,Bhimavaram
2025-01-09 16:19:34,Brazil,Bela Vista
2019-11-08 18:49:02,India,Nokha
2019-08-08 03:10:58,India,Peringathur
2022-04-25 15:52:50,United Kingdom,Halesowen
2023-08-10 00:54:35,United Kingdom,Dinnington
2023-01-30 00:29:36,Brazil,Mariana
2019-04-28 04:08:46,United States,Benicia
2018-04-07 07:50:47,Brazil,Salitre
2022-08-10 07:36:42,Mexico,San José Iturbide
2017-03-26 19:39:41,India,Musiri
2017-04-21 01:57:55,United States,Amherst
2021-07-18 01:33:11,Mexico,Amozoc de Mota
2021-04-26 09:09:14,Germany,Gauting
2018-02-16 18:58:50,United States,Silver Lake
2022-02-13 10:18:05,Brazil,Franca
2023-12-27 16:05:07,Canada,Cliffcrest
2025-04-26 12:39:05,United Kingdom,Bristol
2025-06-22 20:53:06,India,Jamjodhpur
2023-07-14 17:37:07,Brazil,Miracema
2018-10-28 11:37:06,India,Joda
2025-09-22 17:35:45,Germany,Volksdorf
2024-02-27 14:47:01,Japan,Nikkō
2020-11-08 11:54:48,India,Amreli
2017-04-15 18:58:33,India,Tondalam
2016-05-21 03:44:44,United States,Naples
2021-04-09 11:57:37,United Kingdom,Bedworth
2021-01-04 05:26:49,United Kingdom,Merthyr Tydfil
2021-12-25 08:05:08,United Kingdom,Eltham
2022-06-11 23:57:19,France,Saint-Martin-d'Hères
2021-04-29 06:35:45,Canada,Brocklehurst
2023-04-26 05:10:46,Brazil,Pontal do Paraná
2016-12-14 00:13:46,United States,East Massapequa
2019-07-29 20:46:20,Japan,Ishinari
2021-03-16 15:10:25,Brazil,Juruti
2017-11-30 20:15:17,India,Sāmalāpuram
2017-10-24 04:17:52,Spain,Portazgo
2021-01-30 02:25:06,United States,Pueblo
2021-07-11 17:38:14,Spain,Tacoronte
2024-11-04 11:32:53,United Kingdom,Bristol
2017-05-13 12:34:02,India,Gaya
2021-09-13 05:40:07,India,Sonāri
2017-06-04 20:53:30,France,Sedan
2015-11-14 09:54:51,India,Anklesvar INA
2024-02-07 08:05:15,United Kingdom,Kirkintilloch
2023-01-16 07:30:07,United Kingdom,Shipley
2021-06-27 18:32:21,United States,Framingham Center
2020-01-08 03:21:04,Brazil,Conceição da Feira
2018-04-01 16:55:51,France,Lens
2016-10-25 19:19:05,United States,Mequon
2021-09-21 22:59:29,United Kingdom,Leytonstone
2017-07-23 19:50:33,United Kingdom,Swindon
2021-07-18 16:37:37,United Kingdom,Litherland
2016-05-05 09:10:14,India,Khātra
2018-10-12 11:24:10,Brazil,Potim
2020-06-03 03:08:30,Canada,South Parkdale
2023-08-16 17:32:20,India,Bhātāpāra
2018-06-08 14:09:47,India,Nedumpana
2019-05-25 12:01:01,Canada,Sainte-Thérèse
2024-05-02 05:41:59,India,Barwala
2022-07-24 05:09:41,India,Aurangabad
2022-12-29 13:39:39,Italy,Nola
2018-11-07 09:26:21,Spain,Montecanal
2016-01-13 11:48:54,United States,Cottage Grove
2020-01-30 01:41:57,Japan,Akihabara
2018-04-06 14:55:07,Spain,Prosperidad
2020-04-02 10:11:57,Australia,Orange
2018-09-01 11:04:14,United States,Dayton
2019-04-25 21:33:36,Australia,Werribee
2018-07-18 01:37:11,Germany,Barmbek-Nord
2016-11-22 16:19:49,Japan,Engaru
2024-08-05 05:30:19,India,Jambusar
2022-09-11 21:07:55,Australia,Miranda
2020-04-24 03:20:00,Japan,Machiya
2019-09-08 08:37:34,United States,Boardman
2024-07-14 10:08:23,India,Kothakota
2024-09-04 16:05:12,France,Libourne
2020-08-19 03:23:12,Brazil,Cabaceiras do Paraguaçu
2023-07-31 16:36:55,India,Wadgaon
2016-01-24 20:48:57,Canada,Newmarket
2022-09-02 10:02:19,Germany,Wesseling
2024-10-04 04:24:12,United Kingdom,Accrington
2025-05-29 00:12:35,Spain,Oviedo
2017-11-26 04:54:07,Brazil,Carlos Chagas
2019-10-26 18:26:44,Australia,Kingsford
2022-07-19 00:30:30,Japan,Tachikawa
2017-05-07 10:07:56,Japan,Umeki
2017-06-09 08:06:56,Mexico,Comalapa
2017-09-03 10:47:56,India,Mangalvedha
2018-05-13 06:43:35,India,Ezhome
2017-05-10 04:00:48,India,Kuju
2025-08-02 18:11:05,India,Kurikuppi
2020-01-07 23:02:06,India,Jodhpur
2024-02-12 11:49:14,Spain,Burlata
2016-09-13 21:47:31,United States,Auburn
2025-04-20 15:48:02,Brazil,Araruama
2021-03-29 15:11:58,Germany,Eckernförde
2024-01-28 09:45:04,India,Kumārapālaiyam
2021-09-17 17:19:08,Canada,East Hastings
2022-03-03 19:30:41,France,Corbeil-Essonnes
2016-02-02 19:27:50,India,Nokha
2016-04-11 18:20:59,United States,Fresh Meadows
2016-04-10 15:41:32,Canada,Saint John
2020-12-22 05:34:22,United States,Clifton
2016-05-06 18:09:46,Germany,Jülich
2020-11-08 10:21:57,India,Sohna
2022-04-20 10:54:44,Brazil,Timon
2024-09-11 17:31:46,Italy,Rovereto
2018-10-13 09:23:30,United States,Fort Hamilton
2025-08-27 06:43:31,Brazil,Mirassol d'Oeste
2024-11-02 11:31:42,United States,South Burlington
2018-08-03 04:13:37,United States,Maryville
2022-01-20 19:07:35,Germany,Moers
2022-03-08 16:34:22,United States,Miami
2018-07-09 11:39:36,France,Marseille 12
2024-01-11 15:48:10,Germany,Meppen
2017-06-24 23:46:16,Brazil,Boituva
2017-03-29 12:35:49,Brazil,Bombinhas
2016-01-31 16:13:38,Japan,Iwakura
2022-03-11 16:21:49,Japan,Tainai
2021-08-10 13:29:51,India,Wāri
2023-12-03 19:15:38,India,Pasān
2018-05-19 09:43:25,India,Mehndāwal
2016-05-29 08:37:27,Brazil,Cabedelo
2019-06-25 07:16:39,United States,Woodside
2022-09-19 07:09:15,India,Malajkhand
2019-03-18 02:04:50,Brazil,São José de Mipibu
2023-09-01 11:56:46,India,Andipalayam
2020-06-19 23:52:48,India,Shehera
2025-10-10 07:48:06,Brazil,Montenegro
2018-03-07 05:43:05,Italy,San Miniato
2018-07-08 09:18:45,India,Srīnagar
2023-09-17 16:04:57,Brazil,Santa Rita do Sapucaí
2024-10-22 22:33:01,Mexico,Reforma
2023-01-22 03:11:55,Canada,Woburn
2019-06-10 01:41:47,Japan,Adachi
2018-09-27 15:06:41,Japan,Toyama
2025-05-27 13:01:57,Brazil,Maracanaú
2021-10-24 15:45:38,India,Srīnivāspur
2015-11-11 22:32:28,France,Les Pavillons-sous-Bois
2021-11-16 20:05:14,Spain,Numancia
2022-12-31 12:48:09,United States,Jacksonville
2022-11-26 22:27:24,India,Depālpur
2019-11-16 16:39:41,India,Kovvūr
2019-09-09 08:38:29,India,Morwa
2017-10-14 09:02:14,United Kingdom,Ashford
2021-06-27 02:02:56,United States,Sherrelwood
2021-11-10 11:45:55,United States,Mesa
2024-01-28 16:47:03,India,Ubaidullāhganj
2025-05-19 14:06:10,Germany,Falkensee
2018-12-08 16:32:12,India,Sāvantvādi
2022-01-22 12:36:56,India,Pasān
2023-10-21 21:53:26,United States,Spanish Lake
2022-01-14 23:34:04,United States,Aiken
2019-11-26 14:38:42,India,Idangansālai
2022-11-01 20:09:48,India,Forbesganj
2024-08-26 23:59:55,Japan,Tarumizu
2016-12-05 22:04:48,Brazil,Lavras da Mangabeira
2018-11-22 20:20:24,United States,City of Sammamish
2023-11-03 11:52:21,United States,Schenectady
2024-01-12 09:10:02,United States,Williamsburg
2019-10-03 15:04:35,India,Koratagere
2016-04-17 17:58:30,Canada,Lower Lonsdale
2017-12-18 22:44:30,Brazil,Guapimirim
2019-02-09 18:09:36,United States,Bullhead City
2016-03-23 13:28:22,Japan,Kurashiki
2019-09-22 10:25:21,United States,Lanham-Seabrook
2022-12-05 17:31:21,Brazil,Esplanada
2022-10-25 20:00:23,India,Bīsalpur
2024-12-13 13:51:43,Spain,Agüimes
2023-02-12 07:59:27,Brazil,São Gotardo
2025-10-09 04:09:07,United States,Near North Side
2016-03-22 10:37:15,Japan,Yuzawa
2020-02-23 19:54:02,Germany,Sankt Ingbert
2017-09-24 01:19:58,Brazil,Pedreira
2022-06-15 15:01:52,Brazil,Itapetinga
2018-09-17 22:24:33,United States,Reynoldsburg
2020-12-05 05:50:48,India,Chākia
2016-07-21 11:44:42,Brazil,Atibaia
2021-12-17 13:12:43,Germany,Cuxhaven
2021-01-12 12:18:20,Brazil,Aurora
2016-05-16 09:23:49,France,Bagnolet
2021-11-17 22:07:27,Brazil,Cássia
2018-06-24 08:08:01,Brazil,Laranjal do Jari
2020-01-16 16:55:42,Brazil,Divinópolis
2018-10-20 16:47:11,Mexico,Santa Cruz Xoxocotlán
2024-01-24 20:51:27,United States,Lawrenceville
2017-10-15 17:45:53,France,Bayonne
2023-10-22 05:15:24,Australia,Earlwood
2019-12-02 02:07:58,Japan,Kushimoto
2019-12-03 16:49:12,France,Fréjus
2017-11-02 21:28:58,Italy,Bellaria-Igea Marina
2020-02-18 21:52:40,Canada,Markham
2018-03-29 15:47:56,Brazil,Juiz de Fora
2021-04-16 04:56:29,Japan,Fujieda
2017-12-05 03:44:10,France,Marseille 10
2021-07-20 20:02:57,United States,Ponte Vedra Beach
